ID,ステータス名,値
1,体のスタミナ（現在値）,79.047638
2,体のスタミナ（最大値）,100.000000
3,体のスタミナ（回復可能値）,79.049774
4,脳のスタミナ（現在値）,79.048698
5,脳のスタミナ（最大値）,100.000000
6,脳のスタミナ（回復可能値）,79.049675
7,瞬発力,100.000000
8,肉体の修復度（現在値）,100.000000
9,肉体の修復度（最大値）,100.000000
10,糖質（現在値）,99.860023
11,糖質（最大値）,100.000000
12,タンパク質（現在値）,99.929985
13,タンパク質（最大値）,100.000000
14,脂質（現在値）,100.000000
15,脂質（最大値）,100.000000
16,ビタミン（現在値）,99.929985
17,ビタミン（最大値）,100.000000
18,ミネラル（現在値）,99.929985
19,ミネラル（最大値）,100.000000
20,水分（現在値）,99.929985
21,水分（最大値）,100.000000
22,腕骨折,
23,足骨折,
24,頭痛,○
25,風邪,
26,腹痛,
27,睡眠,
28,脱水症状,○
29,睡眠不足,
30,装備武器ID,53
31,装備武器SubID,1
32,x,-285.386627
33,y,15.423948
34,z,540.027039
