ID,名称,詳細,画像のファイル名,重量(kg),体積(mL),種類,糖質,タンパク質,脂質,ビタミン,ミネラル,水分,デバフ（体のスタミナ）,デバフ（脳のスタミナ）,デバフ（肉体の修復度）,デバフ（頭痛）,デバフ（腹痛）,強化値,耐久値の初期値,weaponId,未強化時ID
sumaho,スマホ,"壊れている。
電源ボタンを長押ししても反応しない。
海水が電子製品に掛かると普通壊れる。
",res\\image\\sumaho.png,0.2,200,貴重品,,,,,,,,,,,,,,,sumaho
homeKey,家のカギ,"ホシマンの家のカギ
",res\\image\\homekey.png,0.05,20,貴重品,,,,,,,,,,,,,,,homeKey
sotetsu,赤い実,"猛毒。

",res\\image\\sotetsu_.png,0.05,50,食材,10,10,5,10,10,1,50,50,50,○,○,,,,sotetsu
sotetsuDetox,毒抜きした赤い実,"赤い実をあく抜きをしたもの。
",res\\image\\sotetsu2.png,0.2,500,食材,100,100,50,30,30,0,0,0,0,,,,,,sotetsuDetox
coconut,ココナッツの実,"水分ミネラル糖分を得られ、
果肉からは脂質を得られる。
果肉を煮ると油を取得できる。
道具がなくても岩のとがった部分に
叩きつければ飲み食いできる。
",res\\image\\coconut.png,1,2000,食材,20,5,30,20,30,4,0,0,0,,,,,,coconut
coconutRipe,熟したココナッツの実,"水分はなくなっているが実を食べることができる。
外皮で糸を作ることができ、
糸から縄・布を作ることができるが
誰もやり方がわからない。
動画などでよく見られる茶色い球は、
熟したほうのココナッツ。
",res\\image\\coconut2.png,0.7,1000,食材,10,5,50,5,10,1,0,0,0,,,,,,coconutRipe
donguri1,細長いどんぐり,"食べられるドングリと
食べられないドングリがある。
これはそのままでも食べられるドングリ。
水分が奪われる
",res\\image\\donguri1.png,0.5,500,食材,30,40,30,2,2,-1,0,0,0,,,,,,donguri1
donguri2,小さくて丸いどんぐり,"食べられるドングリと
食べられないドングリがある。
これはそのままでも食べられるドングリ。
水分が奪われる
",res\\image\\donguri2.png,0.3,350,食材,20,30,20,1,1,-1,0,0,0,,,,,,donguri2
donguri3,大きいどんぐり,"猛烈に苦い。食べられそうにない。
水に浸すと食べられる。 
",res\\image\\donguri3.png,0.8,650,素材,30,40,30,1,1,-1,10,5,5,○,○,,,,donguri3
donguriDetox,あく抜きをした大きいどんぐり,"あく抜きをした大きいどんぐり。
そのままポリポリする。
",res\\image\\donguri4.png,0.5,300,食材,100,100,50,30,30,0,0,0,0,,,,,,donguriDetox
flower,ハイビスカス,"花。サバイバルでは何の役にも立たない。
",res\\image\\flower.png,0.001,300,素材,,,,,,,,,,,,,,,flower
kakan,花輪,"花を集めて作った輪っか。
",res\\image\\kakan.png,0.5,2000,その他,,,,,,,,,,,,,,,kakan
tsukushi,ツクシ,"ホシマン（子供の時、ツクシは食べられる
　　　　　ということを
　　　　　聞いたことがある、気がする）

ツクシは利尿作用があり、食べると水分を失う。",res\\image\\tsukushi.png,0.5,500,食材,0,0,0,35,35,-1,0,0,0,,,,,,tsukushi
unknownPlant1,謎の草１,"野草
ホシマンは野草のことが全く分からなかった
",res\\image\\unknownPlant.png,0.5,500,食材,0,0,0,10,10,2,10,5,5,,○,,,,unknownPlant1
unknownPlant2,謎の草２,"野草
ホシマンは野草のことが全く分からなかった
",res\\image\\unknownPlant.png,0.5,500,食材,20,0,0,10,35,1,10,5,5,,○,,,,unknownPlant2
unknownPlant3,謎の草３,"野草
ホシマンは野草のことが全く分からなかった
",res\\image\\unknownPlant.png,0.5,500,食材,0,0,10,35,10,0,10,5,5,,○,,,,unknownPlant3
unknownPlant4,謎の草４,"野草
ホシマンは野草のことが全く分からなかった
",res\\image\\unknownPlant.png,0.5,500,食材,10,0,10,35,35,2,10,5,5,,○,,,,unknownPlant4
unknownPlant5,謎の草５,"野草
ホシマンは野草のことが全く分からなかった
",res\\image\\unknownPlant.png,0.5,500,食材,0,0,0,10,35,3,10,5,5,,○,,,,unknownPlant5
unknownPlant6,謎の草６,"野草
ホシマンは野草のことが全く分からなかった
",res\\image\\unknownPlant.png,0.5,500,食材,10,10,0,35,35,2,10,5,5,,○,,,,unknownPlant6
tanpopo,タンポポ,"ホシマン（根っこが食べられる、というのを
　　　　　動画で見たことがある）

タンポポは利尿作用があり、食べると水分を失う。",res\\image\\tanpopo.png,0.5,500,食材,10,10,0,35,35,-1,0,0,0,,,,,,tanpopo
nira,ニラ、もしくはスイセン,"ニラとスイセンは非常に似ている。
スイセンだった場合、ダメージを負う。
",res\\image\\nira.png,0.5,500,食材,2,2,2,35,35,2,50,50,50,○,○,,,,nira
kinoko,キノコ,"キノコは大体毒だし、栄養も大してない。
食べてはいけない。
",res\\image\\kinoko.png,0.02,100,食材,10,10,10,10,10,0,50,50,50,○,○,,,,kinoko
copper,銅鉱石,"鉄を溶かすには１５００度必要だが、
胴は１０００度で溶ける。
今の知識ではどうすることもできない。
",res\\image\\copper.png,2,1000,素材,,,,,,,,,,,,,,,copper
raft_deprecated,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,,,,raft_deprecated
bui,ブイ,"イカダに付けることで
耐久力、耐荷重量が強化される。
",res\\image\\bui.png,1,2000,素材,,,,,,,,,,,,,,,bui
cubeBody,モンスターの体,"モンスターの体。ゼリーのような材質。
どぶの匂いがする。",res\\image\\cubeBody.png,0.5,500,その他,,,,,,,,,,,,,,,cubeBody
bag,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので
雰囲気で作られた。
アイテムの出し入れやジャンプによって耐久値が下がる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,,100,,bag
bag1,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので
雰囲気で作られた。
アイテムの出し入れやジャンプによって耐久値が下がる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,1,200,,bag
bag2,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので
雰囲気で作られた。
アイテムの出し入れやジャンプによって耐久値が下がる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,2,300,,bag
bag3,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので
雰囲気で作られた。
アイテムの出し入れやジャンプによって耐久値が下がる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,3,400,,bag
bag4,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので
雰囲気で作られた。
アイテムの出し入れやジャンプによって耐久値が下がる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,4,500,,bag
bag5,袋,"ツタで作った袋。
編み物をしたことのある人がいなかったので
雰囲気で作られた。
アイテムの出し入れやジャンプによって耐久値が下がる。
＋５まで強化できる。
",res\\image\\bag.png,0.7,1200,その他,,,,,,,,,,,,5,600,,bag
stoneForAxe,いい形の石（斧）,"斧や槍に石を使うには、
いい形の石を探す必要がある。
",res\\image\\stoneForAxe.png,1,500,素材,,,,,,,,,,,,,,,stoneForAxe
stoneForSpear,いい形の石（槍）,"斧や槍に石を使うには、
いい形の石を探す必要がある。
",res\\image\\stoneForSpear.png,0.8,400,素材,,,,,,,,,,,,,,,stoneForSpear
wordbress,ワードブレス,"飲むと死んでも生き返れる薬が入った小瓶。
効果が発動するには
ある契約を行っている必要がある。

一個で一回だけ。
",res\\image\\wordbress.png,0.4,200,その他,,,,,,,,,,,,,,,wordbress
sugegasa,菅笠（すげがさ）,"頭にかぶる傘。

昼に被ると体力の消耗が抑えられ、
夜に被ると体力の消耗がわずかに増加する。
",res\\image\\sugegasa.png,0.2,2000,その他,,,,,,,,,,,,,,,sugegasa
yakizakana,焼き魚,"焼いた魚。
最近高い。
",res\\image\\yakizakana.png,0.2,200,食材,10,10,10,10,10,0,0,0,0,,,,,,yakizakana
papaiya,パパイヤ,"果物に毒が含まれていることは稀である。
",res\\image\\papaiya.png,0.2,400,食材,10,10,10,10,10,4,0,0,0,,,,,,papaiya
mango,マンゴー,"果物に毒が含まれていることは稀である。
",res\\image\\mango.png,0.2,400,食材,20,10,10,10,10,3,0,0,0,,,,,,mango
banana,バナナ,"果物に毒が含まれていることは稀である。
",res\\image\\banana.png,0.2,300,食材,30,10,10,10,10,2,0,0,0,,,,,,banana
longstone,縦長の石,"木を切るのに使える。使えないことはない。 
",res\\image\\longstone.png,1,500,その他,,,,,,,,,,,,,,,longstone
mu-rugai,黒い貝,"ムール貝のように見える。
",res\\image\\mu-rugai.png,1,1000,食材,10,10,10,10,10,0,0,0,0,,,,,,mu-rugai
raft,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,,100,,raft
raft1,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,1,200,,raft
raft2,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,2,300,,raft
raft3,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,3,400,,raft
raft4,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,4,500,,raft
raft5,イカダ,"５分で壊れる。
＋１０まで強化でき、
耐久力、耐荷重量が上がっていく。 
",res\\image\\raft.png,100,500000,その他,,,,,,,,,,,,5,600,,raft
